Qty-1,Part References,Value,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description
2,"D1, D2",,LTST-C191KGKT,Lite-On Inc.,DK,160-1446-1-ND,LED GREEN CLEAR THIN 0603 SMD
1,R1,0,RC0603JR-070RL,Yageo,DK,311-0.0GRCT-ND,RES SMD 0.0 OHM JUMPER 1/10W
1,C1,0.1uF,GRM188R71C104KA01D,Murata Electronics North America,DK,490-1532-1-ND,CAP CER 0.1UF 16V 10% X7R 0603
1,C2,1uF,GRM188R61C105KA93D,Murata Electronics North America,DK,490-1536-1-ND,CAP CER 1UF 16V 10% X5R 0603
2,"R5, R6",330,ERJ-3GEYJ331V,Panasonic Electronic Components,DK,P330GCT-ND,RES SMD 330 OHM 5% 1/10W 0603
1,U1,ADIS16448,CLM-110-02-L-D,Samtec Inc,DK,SAM1129-10-ND,CONN RCPT LOPRO DL 20POS 1MM SMD
3,"R2, R3, R4",DNP,DNP,DNP,DNP,DNP,DNP
1,J1,,SSW-117-01-L-D,Samtec Inc,Samtec,SSW-117-01-L-D,2x17 Through Hole 0.1in Header
